algorithm_name,brief_description,developer,is_fda_authorized,fda_authorization_pathway,year_developed,references,references_airtable,performance metrics,inputs,outputs
Bone Densitometer,"""The Automated Bone Mineral Density Software Module (ABMD) is a post-processing Al-powered software intended to measure bone mineral density (BMD) from existing CT scans by averaging Hounsfield units in the trabecular region of vertebral bones. ABMD is not intended to replace DXA or any other tests dedicated to BMD measurement. It is solely designed for measuring BMD in existing CT scans or CT scans ordered for reasons other than BMD measurement. In summary, ABMD is an opportunistic Al-powered tool that enables: (1) retrospective assessment of bone density from CT scans acquired for other purposes, (2) assessment of bone density in conjunction with another medically appropriate procedure involving CT scans, and (3) assessment of bone density without a phantom as an independent measurement procedure.""",ABMD Software,TRUE,510(k),2022,"U.S. Food & Drug Administration. Premarket Notification, 510(k). ABMD Software. 2022. ",K213760.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/-rNKN9UfnHn2M_1u707AEQ/iXcyDWyRHy3ed0dvjgwEpCJW50b1oEkRZWyspPrfS2Kws9SCh2_zz6UvoGgTp1I6TGbJ6WXAmcQoP_VQ9BeaWdP1aQ-MZ2vSpPZeQM4yvF4/ZxGYq5raqU36x6EO1wnvhO4pozxA5XdGwk9QUn9E22A),136,CT scan,Bone mineral density
EnsoSleep,"""EnsoSleep is intended for use for the diagnostic evaluation by a physician to assess sleep quality and as an aid for the diagnosis of sleep disorders and respiratory related sleep disorders in pediatric patients ages 13 years and older. EnsoSleep is a software-only medical device to be used under the supervision of a clinician to analyze physiological signals and automatically score sleep study results, including the staging of sleep, detection of arousals, leg movements, and sleep disordered breathing events including obstructive apneas, central apneas, and hypopneas. All automatically scored events and physiological signals analyzed are retrieved, displayed, and summarized, and are subject to verification by a qualified clinician. All events can be manually marked or edited within records during review.""","EnsoData, Inc.",TRUE,510(k),2021," U.S. Food & Drug Administration. Premarket Notification, 510(k). EnsoSleep. 2021. ",K210034.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/vSajGMhcUvZgBWNxSF49qw/on2XpIPitMKRg6jlbE9J3J7no8swEo-ArOa55FFF_hHbeuYLPkv4iE3it1MvnWhoAyEZwBdS_GgPNG6EMexy14KePPsasj3LbNe3-JR_9-0/nowK1_F8EgmxE5wyGa_yNIZkjUR2Andx_8uSu1a-EhU),"1,2,3,4,5,6,7,8","Electroencephalogram (EEG),Electrocardiogram (ECG),Electro-oculogram (EOG),Electromyogram (EMG),Actigraphy,Airflow,Oximetry,Saturation of Peripheral Oxygen (SpO2),Respiratory Inductance Plethysmogram (RIP),Polyvinylidene Flouride (PVDF),Photoplethysmogram (PPG),Pulse Rate,Snoring Microphone,Esophogeal Manometry","Sleep-Wake staging,Total Sleep Time"
PPD risk prediction model (Zhang et al),"""We propose a machine learning framework for PPD risk prediction using data extracted from electronic health records (EHRs).""",Academic researchers (Zhang et al),FALSE,,2021,"Zhang Y, Wang S, Hermann A, Joly R, Pathak J. Development and validation of a machine learning algorithm for predicting the risk of postpartum depression among pregnant women. Journal of Affective Disorders. 2021 Jan 15;279:1–8. 
",1-s2.0-S0165032720328093-main.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/6nSBASRDIdZbpC3dh1byOw/zXIUqjwtVE5VSnHmf4I2KlLi9SZHaagwxZNI3m2TVTbfCiEz6EiRL4vtwRYbyYylJogGvVBFLxRESgA-BPB1WX2LogUHQfJcvK37VuvvKzAX07ETIMOY-OOhXoze79Hq/EFh-bRsAuicYR287PKqwfW7hgwEmPFVhJi_AF6LY7PA),"9,10",Medical record data,Diagnosis of postpartum depression (1 year after childbirth)
PPD risk prediction model (Munk-Olsen et al),"""For the present study we aimed to develop and validate a prediction model to assess individualized risk of PPD...PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A)""",Academic researchers (Munk-Olsen et al),FALSE,,2022,"Munk-Olsen T, Liu X, Madsen KB, Kjeldsen MMZ, Petersen LV, Bergink V, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022 Sep 30;12(1):419.","s41398-022-02190-8.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/qtOBTvRXoBY_SmBn7PMtOw/yeqC27-1mW92SMe4XTVlCznDqhtdJRJhGzp7BeME6e85sjloqaoRr0843dMw_GtFMPrpa-hFbUbMkgNrsAUnS6tzm-1ifLm1rkhCrrxi0w8/UO2Fg0jsOhXmF4oTnasPBYOBTSUxKerX55yuFMK5XlQ),Munk-Olsen et al. - 2022 - Postpartum depression a developed and validated m.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/escDzQ9NmAdqQgFKMGGMcw/sSy4eSyltgSxfEA6mbq31I0U7v4bq5Bn502A_QbirUw_GfYgOXeN1m7ZoB_Cx2hLcjsz3_kqonvvNEm-rK1oYaVvPjyS4ApIqHDzn1lJ8yPAkl1hrfmm8vpHixpy_FbCGsbZfmN5n5bYJaNWKHjbjb0_UXXqJppu5QCf_9GCyzg/ewaN7VnPMxKafU60TtXuNko-LEy56nRHRSDhy6GqA0o)","11,12,13,14,15,16",Medical record data,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth)
VBAC calculator (including race),"""The Maternal Fetal Medicine Units Network (MFMU) vaginal birth after cesarean (VBAC) calculator is a clinical tool designed to predict trial of labor after cesarean delivery (TOLAC) success""",Maternal–Fetal Medicine Units (MFMU) Network,FALSE,,2010,"Buckley A, Sestito S, Ogundipe T, Roig J, Rosenberg HM, Cohen N, et al. Racial and Ethnic Disparities Among Women Undergoing a Trial of Labor After Cesarean Delivery: Performance of the VBAC Calculator with and without Patients’ Race/Ethnicity. Reprod Sci. 2022 Jul;29(7):2030–8; Rubashkin N. Why Equitable Access to Vaginal Birth Requires Abolition of Race-Based Medicine. AMA Journal of Ethics. 2022 Mar 1;24(3):233–8. 
",s43032-022-00959-2.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/1sVH1pZaRC5kqlkal_wEaA/CfodOFAMn5JhN5HlY27HW-sNS6y0qqiiatlguBXSwJedcRWwqk6W5lNaGhStqdOLotLyDRMZHor8leU7b7ggx3ZNa9Pep_AwQgHMQ1EQFRY/Wy8Rh2gETYjtBASrAZLHuk_8_b9LhTECtZ4gj-dDchY),"17,19,20,21,22,23,24",Medical record data,Postpartum complications
VBAC calculator (excluding race),,,FALSE,,2019, Palmer. Researchers remove race from a calculator for childbirth [Internet]. 2021 [cited 2023 Sep 22]. Available from: https://www.statnews.com/2021/06/03/vbac-calculator-birth-cesarean/,s43032-022-00959-2.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/XSbuH2gQtypsKMo7O5vpmw/vn-bWFjwGoRWqRwErADFfGT94gM__rt7g-lyZciuaqo7GCNyOIAaNOuDMi7GS8X9Z4amAG6R_k2E4tDpWRaBq8APujekdyzRKfwWO59p-Fk/QZpSXnvjra1WaWjBRxvO6vLfCCHw35mF5rC3COQMFec),"18,25,26",Medical record data,Postpartum complications
Stanford CBC (Hematrocrit) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/ogmN5dxaeiKrh5HOAQNquQ/apqqb5s_1tf7xlUf0Fm3zHwzLIiFgcFNGR2-EBKU6gYTSNyrXZSvrlPNU_0zVj9zFmJYy2dLU9FKFzGK6Vmpg20qEFijJq1nXdXVBpvVVIU/MpNkfj-ZgFvqMOpPOwMzFTBf3hnq66RhdE5il8IhpYE),"27,39,51,63,75,87,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115",Medical record data,Abnormal Hematrocrit lab value
Stanford CBC (Hemoglobin) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/ogmN5dxaeiKrh5HOAQNquQ/apqqb5s_1tf7xlUf0Fm3zHwzLIiFgcFNGR2-EBKU6gYTSNyrXZSvrlPNU_0zVj9zFmJYy2dLU9FKFzGK6Vmpg20qEFijJq1nXdXVBpvVVIU/MpNkfj-ZgFvqMOpPOwMzFTBf3hnq66RhdE5il8IhpYE),"28,40,52,64,76,88",Medical record data,Abnormal Hemoglobin lab value
Stanford CBC (Platelets) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/ogmN5dxaeiKrh5HOAQNquQ/apqqb5s_1tf7xlUf0Fm3zHwzLIiFgcFNGR2-EBKU6gYTSNyrXZSvrlPNU_0zVj9zFmJYy2dLU9FKFzGK6Vmpg20qEFijJq1nXdXVBpvVVIU/MpNkfj-ZgFvqMOpPOwMzFTBf3hnq66RhdE5il8IhpYE),"29,41,53,65,77,89",Medical record data,Abnormal Platelet lab value
Stanford CBC (White blood cell) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695434400000/ogmN5dxaeiKrh5HOAQNquQ/apqqb5s_1tf7xlUf0Fm3zHwzLIiFgcFNGR2-EBKU6gYTSNyrXZSvrlPNU_0zVj9zFmJYy2dLU9FKFzGK6Vmpg20qEFijJq1nXdXVBpvVVIU/MpNkfj-ZgFvqMOpPOwMzFTBf3hnq66RhdE5il8IhpYE),"30,42,54,66,78,90",Medical record data,Abnormal White blood cell lab value
